ticker,name,group,performance_today,performance_1w,performance_1m,performance_3m,performance_6m,performance_ytd
GRPN,Groupon Inc,Internet Content & Information,-1.8838304,2.4590163,-7.635468,15.81223,64.04199,6.4735947
GS,Goldman Sachs Group Inc,Capital Markets,-1.1917648,-5.0652227,-7.099714,-10.933282,20.053349,11.11149
GSAT,Globalstar Inc,Telecom Services,-0.19514576,0.18364349,-1.4452608,1.7659495,39.33254,34.05963
GSBC,Great Southern Bancorp Inc,Banks - Regional,0.2739726,2.1827412,0.16171166,8.473663,31.978365,30.799221
GSBD,Goldman Sachs BDC Inc,Asset Management,0.10384216,0,-1.4314928,3.5445757,6.637168,3.8793104
GSHD,Goosehead Insurance Inc,Insurance Brokers,-0.9347354,5.2304964,-7.8416147,60.92733,39.91042,-19.416157
GSK,GSK Plc ADR,Drug Manufacturers - General,-0.07992008,2.8377545,-0.53699285,-1.3025459,-3.5300925,1.9779772
GSL,Global Ship Lease Inc,Marine Shipping,-0.24048972,1.3549534,5.186722,20.427553,20.714285,30.222603
GSM,Ferroglobe Plc,Other Industrial Metals & Mining,2.606635,-3.5634744,0.93240094,10.741688,15.775401,-6.6810346
GT,Goodyear Tire & Rubber Co,Auto Parts,-1.3157895,-8.695652,-13.223141,-15.185783,-14.634147,-40.068493
GTES,Gates Industrial Corp Ltd,Specialty Industrial Machinery,0.31471282,-3.1155014,-9.381663,-9.220363,17.29531,18.770378
GTLB,Gitlab Inc,Software - Infrastructure,-0.30456853,5.9788475,21.174728,84.864456,120.67416,30.82867
GTM,ZoomInfo Technologies Inc,Software - Application,0.23866348,12.903226,11.702127,49.46619,-28.93401,-58.702065
